Paper,URL,Year,Writing Stage,Writing Context,Purpose,Specificity,Audience,Demographic Profile - Design,Demographic Profile - Evaluation,System Output Preferences - Design,System Output Preferences - Evaluation,Relationship to System - Design,Relationship to System - Evaluation,User Capabilities - Design,User Capabilities - Evaluation,Data - Source,Data - Size,Model - Type,Model - External Resource Access,Learning - Problem,Learning - Algorithm,Learning - Training and Adaptation,Evaluation - Evaluator,Evaluation - Focus,Scalability,User - Steering the System,User - Integrating System Output,UI - Interface Paradigm,UI - Layout,UI - Visual Differentiation,UI - Interaction Metaphor,UI - Initiation,System - Output Type,System - Curation Type,System - User Data Access,Digital Infrastructure,Social Factors,Locale,Access Model,Norms & Rules,Change Over Time
Recognizing Syntactic Errors in the Writing of Second Language Learners,https://aclanthology.org/P98-2196,1998,Revision,Professional,Educational,General Direction,Specified,Language & culture,Language & culture,Textual coherence,Textual coherence,"Ownership, Other","Ownership, Other",Writing expertise,Writing expertise,User,Medium (<10k),Rule-based model,"Tool, Data",Structured prediction,NA,Tuning decoding parameters,Automatic evaluation,Linguistic quality,Cost,Explicit,Selection,Text editor,Separated,Formatting,Tool,User-initiated,Analysis,Deterministic,Input text,NA,NA,NA,NA,NA,NA
The Role of Centering Theory's Rough-Shift in the Teaching and Evaluation of Writing Skills,https://aclanthology.org/P00-1052,2000,"Drafting, Revision",Academic,Educational,General Direction,Specified,Education,"Education, Profession",Textual coherence,Textual coherence,Ownership,Ownership,Writing expertise,Writing expertise,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Separated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PENS: A Machine-aided English Writing System for Chinese Users,https://aclanthology.org/P00-1067,2000,Drafting,NA,Translation,Nonspecific,Implied,Language & culture,Language & culture,Textual coherence,Textual coherence,Ownership,NA,Writing expertise,NA,Machine,Large (<1M),Statistical ML model,Data,Generation,Supervised learning,Fine-tuning,Automatic evaluation,Linguistic quality,Cost,Explicit,Selection,Text editor,Writing area,Formatting,Tool,User-initiated,"Proposal, Generation",Curated,Input text,NA,NA,NA,NA,NA,NA
A Writer's Collaborative Assistant,https://doi.org/10.1145/502716.502722,2002,Planning,Academic,Educational,Specific Objectives,Specified,Profession,"Profession, Education",NA,NA,Agency,Agency,Efficiency,Technical proficiency,Machine,NA,Rule-based model,Data,Structured prediction,Supervised learning,Other,Human evaluation,NA,Cost,No control,Inspiration,Text editor,Writing area,Location,Tool,System-initiated,Generation,Curated,Input text,"Usability consistency, Technical interoperability",Designing for social writing,Local writing,Free and open-source software,NA,Writing
Toward Evaluation of Writing Style: Overly Repetitious Word Use,https://aclanthology.org/E03-1003,2003,NA,NA,NA,NA,NA,Education,Profession,Textual diversity,Textual diversity,Ownership,Ownership,Writing expertise,Writing expertise,Expert,Medium (<10k),Deep neural network,NA,Classification,Supervised learning,Fine-tuning,Automatic evaluation,Linguistic quality,Cost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Automatic Analysis of Plot for Story Rewriting,https://aclanthology.org/W04-3217,2004,Revision,Creative,Educational,Specific Objectives,Specified,NA,NA,NA,NA,NA,NA,NA,NA,Expert,Medium (<10k),Statistical ML model,NA,Structured prediction,Supervised learning,Training from scratch,Automatic evaluation,Linguistic quality,Cost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Automated Japanese Essay Scoring System based on Articles Written by Experts,https://aclanthology.org/P06-1030,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explicit,No integration,Other,Separated,Location,Tool,User-initiated,Analysis,Deterministic,Input text,NA,NA,NA,NA,NA,NA
Is the Sky Pure Today? AwkChecker: An Assistive Tool for Detecting and Correcting Collocation Errors,https://doi.org/10.1145/1449715.1449736,2008,Revision,Academic,Educational,General Direction,Implied,Language & culture,Language & culture,"Textual coherence, Explainability",Explainability,"Transparency, Agency",Transparency,"Writing expertise, Cognition","Writing expertise, Confidence",Other,Unknown,Rule-based model,Data,"Classification, Generation",Unsupervised learning,NA,Human evaluation,Linguistic quality,NA,Explicit,"Inspiration, Selection",Text editor,Separated,Location,Tool,"User-initiated, System-initiated","Proposal, Generation",Model,Input text,Usability consistency,Designing with stakeholders,NA,Free and open-source software,Conventions,Writing
Common Sense Assistant for Writing Stories That Teach Social Skills,https://doi.org/10.1145/1358628.1358765,2008,Drafting,Creative,Accessibility,General Direction,Specified,NA,NA,"Textual coherence, Textual diversity","Textual coherence, Textual diversity",NA,NA,Empathy,Creativity,NA,Unknown,Rule-based model,NA,Generation,NA,NA,Human evaluation,Style & adequacy,NA,No control,Inspiration,Text editor,Separated,Location,"Tool, Hybrid","User-initiated, System-initiated",Proposal,Model,Input text,NA,Designing with stakeholders,NA,NA,Conventions,"Readers, Writing"
RiTa: Creativity Support for Computational Literature,https://doi.org/10.1145/1640233.1640265,2009,Drafting,Creative,Educational,Nonspecific,NA,"Profession, Education",Education,NA,NA,Transparency,NA,"Cognition, Creativity, Efficiency","Creativity, Confidence, Cognition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Technical interoperability,Designing with stakeholders,NA,Free and open-source software,NA,Writing
Motivating Expressive Writing with a Text-to-Sound Application,https://doi.org/10.1145/1753326.1753618,2010,Drafting,Personal,Narrative,General Direction,Specified,NA,NA,NA,NA,NA,NA,NA,NA,Expert,NA,Rule-based model,NA,Classification,NA,NA,Human evaluation,Style & adequacy,NA,No control,"Inspiration, No integration","Other, Text editor",Custom,NA,Tool,"User-initiated, System-initiated",Analysis,Model,Input text,NA,NA,NA,NA,NA,NA
Towards an Intelligent Reviewer's Assistant: Recommending Topics to Help Users to Write Better Product Reviews,https://doi.org/10.1145/2166966.2166995,2012,Drafting,Personal,Feedback,General Direction,Implied,NA,NA,Textual coherence,Textual coherence,NA,NA,NA,NA,User,Medium (<10k),Rule-based model,NA,Generation,NA,NA,"Automatic evaluation, Human-machine evaluation, Human evaluation","Style & adequacy, Linguistic quality",NA,No control,Inspiration,"Other, Text editor",Separated,Location,Tool,"User-initiated, Other",Proposal,Curated,Input text,Technical interoperability,Designing with stakeholders,NA,NA,Other,Writing
TransAhead: A Writing Assistant for CAT and CALL,https://aclanthology.org/E12-2004,2012,Drafting,Personal,Translation,Specific Objectives,Specified,NA,NA,NA,NA,NA,NA,NA,NA,Other,Unknown,Rule-based model,Data,Structured prediction,Supervised learning,NA,Automatic evaluation,Linguistic quality,Latency,Implicit,Inspiration,"Chatbot, Text editor","Writing area, Separated",Formatting,"Tool, Agent",System-initiated,Generation,"Customized, Model",Input text,NA,NA,NA,NA,NA,NA
TransAhead: A Computer-Assisted Translation and Writing Tool,https://aclanthology.org/N12-1036,2012,NA,NA,NA,NA,Specified,NA,NA,NA,NA,NA,NA,NA,NA,Other,Unknown,Rule-based model,Data,Structured prediction,Supervised learning,NA,Automatic evaluation,Linguistic quality,Latency,NA,NA,Text editor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWAN - Scientific Writing AssistaNt. A Tool for Helping Scholars to Write Reader-Friendly Manuscripts,https://aclanthology.org/E12-2005,2012,Revision,Academic,Expository,Detailed Requirements,Specified,Education,Education,Textual coherence,Textual coherence,Agency,Agency,Writing expertise,Writing expertise,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Implicit, Explicit","Inspiration, No integration",Other,Separated,Formatting,Tool,User-initiated,Analysis,"Curated, Model",Input text,NA,NA,NA,NA,NA,NA
"Detecting Boredom and Engagement during Writing with Keystroke Analysis, Task Appraisals, and Stable Traits",https://doi.org/10.1145/2449396.2449426,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agency,Agency,Emotion,Emotion,User,Medium (<10k),Statistical ML model,Data,Classification,Supervised learning,NA,Automatic evaluation,NA,Cost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WINGS:Writing with Intelligent Guidance and Suggestions,https://aclanthology.org/P14-5005,2014,NA,NA,NA,NA,NA,NA,Language & culture,Textual coherence,Textual coherence,NA,Trust,"Emotion, Efficiency",NA,Other,Large (<1M),"Statistical ML model, Rule-based model",Data,"Rewriting, Structured prediction, Generation",Unsupervised learning,NA,Automatic evaluation,Linguistic quality,Latency,"Implicit, Explicit",Selection,"Other, Text editor","Input UI, Separated",Location,Tool,System-initiated,"Proposal, Generation",Model,Input text,NA,NA,NA,NA,NA,NA
You're the Voice: Evaluating User Interfaces for Encouraging Underserved Youths to Express Themselves through Creative Writing,https://doi.org/10.1145/2757226.2757236,2015,NA,NA,NA,NA,NA,Socioeconomic status,"Socioeconomic status, Age","Textual diversity, Textual coherence","Textual diversity, Textual coherence",Agency,Agency,Creativity,Creativity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Usability consistency,Designing with stakeholders,Local writing,Free and open-source software,NA,Writing
Thesis Writer: A System for Supporting Academic Writing,https://doi.org/10.1145/2685553.2702687,2015,Planning,Academic,Expository,General Direction,Specified,"Education, Age, Profession","Age, Education",Textual coherence,NA,Ownership,Ownership,Writing expertise,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Implicit,Inspiration,Text editor,NA,NA,Tool,User-initiated,Generation,Model,Input text,NA,NA,NA,NA,NA,NA
Mining Memories: Designing a Platform to Support Social Media Based Writing,https://doi.org/10.1145/2702123.2702383,2015,Planning,Personal,Educational,General Direction,Specified,"Education, Age, Profession",Education,Textual coherence,Textual coherence,Agency,Agency,Writing expertise,Writing expertise,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Implicit,Inspiration,Other,Custom,Media type,Tool,NA,Proposal,Customized,Other,"Usability consistency, Technical interoperability",Designing with stakeholders,Local writing,Free and open-source software,Conventions,Writing
Linguistic Template Extraction for Recognizing Reader-Emotion and Emotional Resonance Writing Assistance,https://aclanthology.org/P15-2127,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"User, Other",Large (<1M),Statistical ML model,"Tool, Data",Classification,Supervised learning,NA,Automatic evaluation,Controllability,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
InkWell: A Creative Writer's Creative Assistant,https://doi.org/10.1145/2757226.2757229,2015,Revision,Creative,"Descriptive, Entertainment",General Direction,NA,Profession,Profession,Personalization,"Personalization, Textual diversity",NA,NA,Creativity,Creativity,NA,Extremely large (>1M),Rule-based model,Data,Rewriting,NA,NA,Human evaluation,Controllability,Latency,Explicit,Inspiration,Other,Separated,Location,Hybrid,User-initiated,Proposal,Customized,Input text,NA,NA,NA,NA,NA,NA
